code_arc,code_raepa,valeur,definition,symbole
00-00,00,Indéterminé,Type d'appareillage inconnu,AEP_APP_indetermine.png
01-00,01,Point de branchement,Piquage de branchement individuel,AEP_APP_PT_BRANCHEMENT.png
02-00,02,Ventouse,Ventouse d'adduction d'eau,AEP_APP_VENTOUSE.png
03-00,03,Vanne,Vanne d'adduction d'eau,AEP_APP_VANNE.png
04-00,04,Vidange,Vidange d'adduction d'eau,AEP_APP_PURGE_VIDANGE.png
05-00,05,Régulateur de pression,Régulateur de pression d'adduction d'eau,AEP_APP_REGULATEUR_PRESSION.png
06-00,06,Hydrant,Hydrant,AEP_APP_BOUCHE_INCENDIE.png
07-00,99,Point métrologique,Point métrologique,
07-01,07,Compteur,Appareil de mesure des volumes transités,AEP_APP_COMPTEUR_BRANCHEMENT.png
07-02,08,Débitmètre,Appareil de mesure des débits transités,AEP_APP_COMPTEUR_DEBIT.png
07-03,99,Capteur de pression,Appareil de mesure de pression,AEP_APP_REGULATEUR_PRESSION.png
07-99,99,Autre point métrologique,Point métrologique autre que la liste énumérée,
99-99,99,Autre,Appareillage dont le type ne figure pas dans la liste ci-dessus,AEP_APP_autre.png
