code,valeur,definition
00,Indéterminée,Type de régulateur de pression inconnu
01,Stabilisateur Amont,Régulateur de type Stabilisateur Amont
02,Stabilisateur Aval,Régulateur de type Stabilisateur Aval
03,Stabilisateur Amont - Aval,Régulateur de type Stabilisateur Amont - Aval
04,Limitateur débit,Régulateur de type Limitateur débit
05,Robinet altimétrique,Régulateur de type Robinet altimétrique 
06,Vanne de survitesse,Régulateur de type Vanne de survitesse 
07,Clapet,Régulateur de type Clapet
08,Disconnecteur,Régulateur de type Disconnecteur
09,Soupape de décharge,Régulateur de type Soupape de décharge
10,Réducteur de pression,Régulateur de type Réducteur de pression
99,Autre,Type de régulateur ne figurant pas dans la liste ci-dessus
