code,valeur,definition
00,Indéterminée,Type de traitement inconnu
01,Lits bactériens,Traitement sur lits bactériens
02,Filtres biologiques,Traitement sur Filtres biologiques
03,Disques biologiques,Traitement sur Disques biologiques
04,Filtres à sable,Traitement sur Filtres à sable
05,Filtres plantés,Traitement sur Filtres plantés
06,Lagunage naturel,Traitement sur Lagunage naturel
07,Boues activées,Traitement sur Boues activées
08,SBR,Traitement biologique séquentiel
99,Autre,Nature du traitement ne figurant pas dans la liste ci-dessus
